Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1961,1961,tonnes,6993009,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1962,1962,tonnes,6676477,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1963,1963,tonnes,6752506,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1964,1964,tonnes,6674565,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1965,1965,tonnes,6790612,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1966,1966,tonnes,6708715,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1967,1967,tonnes,6989419,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1968,1968,tonnes,7295914,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1969,1969,tonnes,7098324,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1970,1970,tonnes,6535681,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1971,1971,tonnes,6976034,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1972,1972,tonnes,7086702,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1973,1973,tonnes,6818409,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1974,1974,tonnes,6953186,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1975,1975,tonnes,7579989,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1976,1976,tonnes,7824965,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1977,1977,tonnes,7787946,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1978,1978,tonnes,8479677,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1979,1979,tonnes,8974912,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1980,1980,tonnes,8804672,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1981,1981,tonnes,9557044,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1982,1982,tonnes,10359565,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1983,1983,tonnes,10309821,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1984,1984,tonnes,11139107,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1985,1985,tonnes,13620280,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1986,1986,tonnes,14017475,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1987,1987,tonnes,14026291,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1988,1988,tonnes,14531040,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1989,1989,tonnes,13161423,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1990,1990,tonnes,13552106,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1991,1991,tonnes,13991041,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1992,1992,tonnes,14564496,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1993,1993,tonnes,14989683,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1994,1994,tonnes,15158822,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1995,1995,tonnes,15546382,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1996,1996,tonnes,17278205,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1997,1997,tonnes,16191715,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1998,1998,tonnes,17331087,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",1999,1999,tonnes,18169975,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2000,2000,tonnes,19472072,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2001,2001,tonnes,23939409,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2002,2002,tonnes,25207035,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2003,2003,tonnes,24699775,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2004,2004,tonnes,25212282,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2005,2005,tonnes,26866131,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2006,2006,tonnes,27911455,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2007,2007,tonnes,28785463,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2008,2008,tonnes,30354130,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2009,2009,tonnes,26560345,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2010,2010,tonnes,31545581,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2011,2011,tonnes,31859389,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2012,2012,tonnes,28212233,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2013,2013,tonnes,29133241,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,29626335,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1961,1961,tonnes,6650336,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1962,1962,tonnes,5691815,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1963,1963,tonnes,5976981,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1964,1964,tonnes,5858379,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1965,1965,tonnes,5584730,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1966,1966,tonnes,6026779,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1967,1967,tonnes,5970735,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1968,1968,tonnes,5933599,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1969,1969,tonnes,5963885,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1970,1970,tonnes,6010237,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1971,1971,tonnes,6283137,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1972,1972,tonnes,6218545,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1973,1973,tonnes,6233065,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1974,1974,tonnes,6549864,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1975,1975,tonnes,6860103,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1976,1976,tonnes,6893412,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1977,1977,tonnes,6886772,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1978,1978,tonnes,7094212,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1979,1979,tonnes,7515027,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1980,1980,tonnes,7962044,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1981,1981,tonnes,8166606,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1982,1982,tonnes,8576823,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1983,1983,tonnes,8928806,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1984,1984,tonnes,9496484,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1985,1985,tonnes,9556991,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1986,1986,tonnes,9943826,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1987,1987,tonnes,10329901,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1988,1988,tonnes,10026035,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1989,1989,tonnes,10332763,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1990,1990,tonnes,10565184,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1991,1991,tonnes,10875013,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1992,1992,tonnes,11548570,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1993,1993,tonnes,13129209,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1994,1994,tonnes,13455909,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1995,1995,tonnes,14132412,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1996,1996,tonnes,15024550,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1997,1997,tonnes,15539598,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1998,1998,tonnes,16032949,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",1999,1999,tonnes,16414383,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2000,2000,tonnes,17777333,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2001,2001,tonnes,18218912,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2002,2002,tonnes,19561168,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2003,2003,tonnes,20660432,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2004,2004,tonnes,21513085,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2005,2005,tonnes,20967888,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2006,2006,tonnes,21429680,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2007,2007,tonnes,21789514,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2008,2008,tonnes,22204654,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2009,2009,tonnes,22832449,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2010,2010,tonnes,23261071,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2011,2011,tonnes,24058446,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2012,2012,tonnes,24289960,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2013,2013,tonnes,24941869,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,394,"Pumpkins, squash and gourds",2014,2014,tonnes,25196723,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1961,1961,tonnes,17847421,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1962,1962,tonnes,19137184,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1963,1963,tonnes,19182440,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1964,1964,tonnes,19618819,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1965,1965,tonnes,19149955,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1966,1966,tonnes,20090471,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1967,1967,tonnes,20893875,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1968,1968,tonnes,21256722,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1969,1969,tonnes,21113283,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1970,1970,tonnes,19577867,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1971,1971,tonnes,22148511,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1972,1972,tonnes,21116168,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1973,1973,tonnes,21926466,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1974,1974,tonnes,21988860,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1975,1975,tonnes,23766584,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1976,1976,tonnes,24385903,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1977,1977,tonnes,24240109,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,567,Watermelons,1978,1978,tonnes,25156079,A,"Aggregate, may include official, semi-official, estimated or calculated data"
